job_id,model,topology,seed,selection_regime,bottleneck_h1,bottleneck_h2,bottleneck_mean,bottleneck_mean_over_threshold,detected_h1,detected_h2,expected_h1,expected_h2,finite,h1_persistence_1,h1_persistence_2,h1_persistence_3,h2_persistence_1,h2_persistence_2,horizon,knn_scale,signature_distance,signature_match,zero_knn_fraction,task_success,validation_error
broad__hc__s1__lr0p01_a0p01_bm0p1_eta1000_i50__seed10,hc,s1,10,topology-specific CA-aware selected,12.860712051391602,0.7850074768066406,6.822859764099121,1.1894039646469092,1,0,1,0,True,25.721424102783203,0.0,0.0,1.5700149536132812,1.3397483825683594,4096,0.07099425276262551,0,True,0.0,True,0.016481805592775345
pilot__rnn__t2__seed11,rnn,t2,11,ring-selected zero-retuning,0.7623858451843262,0.5855257511138916,0.6739557981491089,1.151026742832386,6,0,2,1,True,1.1110751628875732,0.9710463285446167,0.8836946487426758,0.3341503143310547,0.3152322769165039,0,1.1614208362138276,5,False,0.0,False,0.04420476034283638
pilot__rnn__t2__seed11,rnn,t2,11,ring-selected zero-retuning,0.7989005148410797,0.5855257511138916,0.6922131329774857,1.1822078391268604,3,0,2,1,True,0.7919784784317017,0.7624017000198364,0.6627669334411621,0.35776805877685547,0.3064565658569336,128,1.3783978880376822,2,False,0.0,False,0.04420476034283638
pilot__rnn__t2__seed11,rnn,t2,11,ring-selected zero-retuning,0.6743139624595642,0.5855257511138916,0.6299198567867279,1.0758192198863703,1,0,2,1,True,1.1072219610214233,0.5616476535797119,0.4133918285369873,0.17216801643371582,0.05919468402862549,512,1.3164512985611674,2,False,0.0,False,0.04420476034283638
pilot__rnn__t2__seed11,rnn,t2,11,ring-selected zero-retuning,0.6462281942367554,0.5774815082550049,0.6118548512458801,1.0449665963997323,4,0,2,1,True,1.142906129360199,0.9322545528411865,0.8566256761550903,0.1414794921875,0.13823986053466797,2048,0.7628882134325045,3,False,0.0,False,0.04420476034283638
pilot__rnn__t2__seed11,rnn,t2,11,ring-selected zero-retuning,2.8265225291252136,0.5855257511138916,1.7060241401195526,2.913662015503245,2,0,2,1,True,5.653045058250427,0.7834171056747437,0.3114957809448242,0.3295869827270508,0.11061525344848633,4096,0.24017167346759835,1,False,0.0,False,0.04420476034283638
pilot__gru__t2__seed12,gru,t2,12,ring-selected zero-retuning,0.1251842975616455,0.06626236438751221,0.09572333097457886,0.16348270044908675,2,1,2,1,True,1.5741591453552246,1.5720763802528381,0.42282432317733765,1.1687957048416138,0.13252472877502441,0,1.6951283654251186,0,True,0.0,True,0.01263304241001606
pilot__gru__t2__seed12,gru,t2,12,ring-selected zero-retuning,0.17531335353851318,0.1449195146560669,0.16011643409729004,0.27345754442513925,2,1,2,1,True,1.6208648681640625,1.561187982559204,0.4751860499382019,1.067327618598938,0.1479017734527588,128,1.7199564744378883,0,True,0.0,True,0.01263304241001606
pilot__gru__t2__seed12,gru,t2,12,ring-selected zero-retuning,0.3680322766304016,0.5855257511138916,0.4767790138721466,0.8142750561612917,4,1,2,1,True,1.7116632461547852,1.5044714212417603,0.7360645532608032,0.79994797706604,0.19574308395385742,512,1.5729461568300167,2,False,0.0,True,0.01263304241001606
pilot__gru__t2__seed12,gru,t2,12,ring-selected zero-retuning,1.3573005199432373,0.5855257511138916,0.9714131355285645,1.6590442583960978,8,1,2,1,True,2.7146010398864746,1.9062163829803467,1.8461236953735352,0.8066596984863281,0.5103144645690918,2048,0.6990509104795886,6,False,0.0,True,0.01263304241001606
pilot__gru__t2__seed12,gru,t2,12,ring-selected zero-retuning,1.4470579624176025,0.7226753234863281,1.0848666429519653,1.8528077388366582,4,1,2,1,True,2.894115924835205,2.0089035034179688,1.6054267883300781,1.4453506469726562,0.41559410095214844,4096,0.45446561214442094,2,False,0.0,True,0.01263304241001606
pilot__lstm__t2__seed12,lstm,t2,12,ring-selected zero-retuning,0.19193807244300842,0.16568660736083984,0.17881233990192413,0.3053876615362439,2,1,2,1,True,1.5325945615768433,1.4506118893623352,0.5348125696182251,0.933110237121582,0.14175963401794434,0,1.571780470911851,0,True,0.0,True,0.010496674105525017
pilot__lstm__t2__seed12,lstm,t2,12,ring-selected zero-retuning,0.28034842014312744,0.29100072383880615,0.2856745719909668,0.48789412156084616,3,1,2,1,True,1.5766328573226929,1.5759838819503784,0.7529515027999878,0.8594528436660767,0.12359952926635742,128,1.553593129267921,1,False,0.0,True,0.010496674105525017
pilot__lstm__t2__seed12,lstm,t2,12,ring-selected zero-retuning,0.5488999485969543,0.5855257511138916,0.567212849855423,0.9687240036435109,6,0,2,1,True,1.7014617919921875,1.645801603794098,1.0977998971939087,0.4570732116699219,0.18239974975585938,512,1.3622426454956558,5,False,0.0,True,0.010496674105525017
pilot__lstm__t2__seed12,lstm,t2,12,ring-selected zero-retuning,0.9396069049835205,0.5855257511138916,0.762566328048706,1.3023617263596285,5,0,2,1,True,1.879213809967041,1.7847282886505127,1.1624033451080322,0.3027224540710449,0.24568605422973633,2048,0.6784283920340686,4,False,0.0,True,0.010496674105525017
pilot__lstm__t2__seed12,lstm,t2,12,ring-selected zero-retuning,2.5467586517333984,0.5855257511138916,1.566142201423645,2.6747622943043066,2,0,2,1,True,5.093517303466797,2.3219480514526367,0.49982166290283203,0.4760856628417969,0.0,4096,0.25868339973248167,1,False,0.0,True,0.010496674105525017
broad__calru__t2__lr0p01_eta1000_i50__seed10,calru,t2,10,topology-specific validation-selected,0.12683475017547607,0.06823289394378662,0.09753382205963135,0.16657477809316687,2,1,2,1,True,1.527442455291748,1.5196978449821472,0.4502013325691223,1.1059434413909912,0.13646578788757324,0,0.9231956796210192,0,True,0.0,True,0.004256655462086201
broad__calru__t2__lr0p01_eta1000_i50__seed10,calru,t2,10,topology-specific validation-selected,0.12665802240371704,0.06807291507720947,0.09736546874046326,0.16628725304606548,2,1,2,1,True,1.5286933779716492,1.5214359164237976,0.4510939121246338,1.1044398546218872,0.13614583015441895,128,0.9226336470012582,0,True,0.0,True,0.004256655462086201
broad__calru__t2__lr0p01_eta1000_i50__seed10,calru,t2,10,topology-specific validation-selected,0.12665802240371704,0.06807291507720947,0.09736546874046326,0.16628725304606548,2,1,2,1,True,1.5286933779716492,1.5214359164237976,0.4510939121246338,1.1044398546218872,0.13614583015441895,512,0.9226336470012582,0,True,0.0,True,0.004256655462086201
broad__calru__t2__lr0p01_eta1000_i50__seed10,calru,t2,10,topology-specific validation-selected,0.12665802240371704,0.06807291507720947,0.09736546874046326,0.16628725304606548,2,1,2,1,True,1.5286933779716492,1.5214359164237976,0.4510939121246338,1.1044398546218872,0.13614583015441895,2048,0.9226336470012582,0,True,0.0,True,0.004256655462086201
