topology,model,model_label,horizon,seed_count,signature_match_count,signature_match_fraction,expected_h1,expected_h2,knn_scale_median,knn_scale_min,knn_scale_max,zero_knn_fraction_median,zero_knn_fraction_min,zero_knn_fraction_max,detected_h1_median,detected_h1_min,detected_h1_max,detected_h2_median,detected_h2_min,detected_h2_max,signature_distance_median,signature_distance_min,signature_distance_max,bottleneck_h1_median,bottleneck_h1_min,bottleneck_h1_max,bottleneck_h2_median,bottleneck_h2_min,bottleneck_h2_max,bottleneck_mean_median,bottleneck_mean_min,bottleneck_mean_max,bottleneck_mean_over_threshold_median,bottleneck_mean_over_threshold_min,bottleneck_mean_over_threshold_max,h1_persistence_1_median,h1_persistence_1_min,h1_persistence_1_max,h1_persistence_2_median,h1_persistence_2_min,h1_persistence_2_max,h1_persistence_3_median,h1_persistence_3_min,h1_persistence_3_max,h2_persistence_1_median,h2_persistence_1_min,h2_persistence_1_max,h2_persistence_2_median,h2_persistence_2_min,h2_persistence_2_max
s1,lstm,LSTM,512,3,3,1.0,1,0,0.34685989989473553,0.33435217139389284,0.4386453912546875,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.834527015686035,0.40744876861572266,3.4304027557373047,0.09443235397338867,0.07692432403564453,0.10302543640136719,1.464479684829712,0.2421865463256836,1.766714096069336,0.2552973391665932,0.042219486893109996,0.3079847487587788,13.076958060264587,11.48487138748169,14.060510277748108,0.0,0.0,0.0,0.0,0.0,0.0,0.18886470794677734,0.15384864807128906,0.20605087280273438,0.15989208221435547,0.10034942626953125,0.1848297119140625
s1,lstm,LSTM,2048,3,3,1.0,1,0,0.12607379387954548,0.07332801524639049,0.28291154651732064,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.160571098327637,5.736368775367737,11.331401824951172,0.21306419372558594,4.76837158203125e-07,1.0715579986572266,3.6868176460266113,2.8681846261024475,6.201479911804199,0.6427093149690788,0.5000000415626311,1.0810811080406255,15.771242141723633,6.453807830810547,22.662803649902344,0.0,0.0,0.0,0.0,0.0,0.0,0.4261283874511719,0.0,2.143115997314453,0.39397621154785156,0.0,0.613494873046875
s1,calru,CA-LRU,0,3,3,1.0,1,0,0.1438521870835451,0.11727376970544447,0.21245181128652246,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36974430084228516,0.02063918113708496,0.4831562042236328,0.055533409118652344,0.052410125732421875,0.06709003448486328,0.21263885498046875,0.04386460781097412,0.26778316497802734,0.03706854689913782,0.0076467552085094335,0.046681650964962726,11.100066989660263,10.97090357542038,11.442912578582764,0.0,0.0,0.0,0.0,0.0,0.0,0.11106681823730469,0.10482025146484375,0.13418006896972656,0.11071968078613281,0.09566211700439453,0.118194580078125
s1,calru,CA-LRU,128,3,3,1.0,1,0,0.1420057181858716,0.11635688148277826,0.20944814277570045,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27694225311279297,0.01753184199333191,0.4153156280517578,0.056181907653808594,0.055998802185058594,0.07263708114624023,0.16656208038330078,0.04508446156978607,0.2356572151184082,0.029036152818230052,0.007859407812723106,0.04108125267858169,11.19299840927124,11.0377716422081,11.447342664003372,0.0,0.0,0.0,0.0,0.0,0.0,0.11236381530761719,0.11199760437011719,0.14527416229248047,0.10734844207763672,0.1054840087890625,0.13047218322753906
s1,calru,CA-LRU,512,3,3,1.0,1,0,0.14200475984502384,0.1163568814827773,0.20944814277508061,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27694225311279297,0.01753184199333191,0.4152383804321289,0.056181907653808594,0.05595541000366211,0.07263708114624023,0.16656208038330078,0.04508446156978607,0.2355968952178955,0.029036152818230052,0.007859407812723106,0.04107073733292056,11.19299840927124,11.037846893072128,11.447342664003372,0.0,0.0,0.0,0.0,0.0,0.0,0.11236381530761719,0.11191082000732422,0.14527416229248047,0.10727119445800781,0.1054840087890625,0.13047218322753906
s1,calru,CA-LRU,2048,3,3,1.0,1,0,0.1420009308126694,0.1163568814827773,0.20944814277508061,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27694225311279297,0.01753184199333191,0.4149332046508789,0.056181907653808594,0.05578184127807617,0.07263708114624023,0.16656208038330078,0.04508446156978607,0.23535752296447754,0.029036152818230052,0.007859407812723106,0.04102900845132462,11.19299840927124,11.038141429424286,11.447342664003372,0.0,0.0,0.0,0.0,0.0,0.0,0.11236381530761719,0.11156368255615234,0.14527416229248047,0.10728740692138672,0.1054840087890625,0.13047218322753906
s1,hc,H-C,0,3,3,1.0,1,0,0.22269241737268053,0.19774281914343556,0.2247756111821604,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19529438018798828,0.027662545442581177,0.2145071029663086,0.059255123138427734,0.05521965026855469,0.05933856964111328,0.12525701522827148,0.04350055754184723,0.13688111305236816,0.021835593235590357,0.007583291668527461,0.023861979313488827,11.252469509840012,11.23478677868843,11.453416794538498,0.0,0.0,0.0,0.0,0.0,0.0,0.11851024627685547,0.11043930053710938,0.11867713928222656,0.10646247863769531,0.10595130920410156,0.11071491241455078
s1,hc,H-C,128,3,3,1.0,1,0,0.22747632171665771,0.2012753317075811,0.23802431015889935,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23713302612304688,0.17762184143066406,0.6201887130737305,0.04584789276123047,0.02704906463623047,0.06248903274536133,0.14149045944213867,0.1200554370880127,0.32361888885498047,0.024665509659997104,0.02092882131350009,0.05641528666089542,11.171134442090988,10.774994254112244,11.612633526325226,0.0,0.0,0.0,0.0,0.0,0.0,0.09169578552246094,0.05409812927246094,0.12497806549072266,0.08264446258544922,0.05071544647216797,0.10204315185546875
s1,hc,H-C,512,3,3,1.0,1,0,0.20851196221967716,0.20288296268511413,0.23191837459497472,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7958564758300781,0.11137589812278748,1.3780269622802734,0.04784584045410156,0.046222686767578125,0.07500982284545898,0.42185115814208984,0.0787992924451828,0.7265183925628662,0.07353975566451385,0.013736789863223407,0.12665127034415458,11.408139377832413,10.352107524871826,12.653461396694183,0.0,0.0,0.0,0.0,0.0,0.0,0.09569168090820312,0.09244537353515625,0.15001964569091797,0.09237861633300781,0.07714080810546875,0.13149738311767578
s1,hc,H-C,2048,3,3,1.0,1,0,0.13080513413553788,0.08295979361473516,0.1927587856890033,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.059207439422607,2.476250648498535,9.249547004699707,0.12328815460205078,0.12042474746704102,0.24093914031982422,3.591247797012329,1.298337697982788,4.745243072509766,0.6260489758666374,0.2263344197043114,0.8272207137180726,14.118414878845215,13.297243475914001,18.60972285270691,0.0,0.0,0.0,0.0,0.0,0.0,0.24657630920410156,0.24084949493408203,0.48187828063964844,0.20843124389648438,0.19585323333740234,0.43764305114746094
