topology,model,model_label,condition_id,condition_axis,condition_value,condition_label,eligible_seed_count,finite_seed_count,error_median_radians,error_min_radians,error_max_radians,chance_ratio_median,id_error_ratio_median,status
s1,rnn,RNN,length_h384,length,384,T=384,1,1,0.3441990911960602,0.3441990911960602,0.3441990911960602,0.2460106099724505,3.0341889267415794,alive
s1,gru,GRU,length_h384,length,384,T=384,3,3,0.09788709133863449,0.0563160739839077,0.13102510571479797,0.0699631802192338,2.425118808492855,alive
s1,lstm,LSTM,length_h384,length,384,T=384,3,3,0.08989782631397247,0.05699813365936279,0.10760851204395294,0.06425298512511274,2.509255282932426,alive
s1,calru,CA-LRU,length_h384,length,384,T=384,3,3,0.1340782642364502,0.041899003088474274,0.14542829990386963,0.0958302227185952,2.0338399187172884,alive
t2,rnn,RNN,length_h384,length,384,T=384,0,0,,,,,,ineligible_id
t2,gru,GRU,length_h384,length,384,T=384,3,3,0.139803946018219,0.13313759863376617,0.16273513436317444,0.09145838932046967,2.3827449867914647,alive
t2,lstm,LSTM,length_h384,length,384,T=384,3,3,0.15486077964305878,0.10505834966897964,0.16499602794647217,0.1013084242502039,2.2851279239050823,alive
t2,calru,CA-LRU,length_h384,length,384,T=384,3,3,0.06321683526039124,0.04400494694709778,0.13072305917739868,0.041355842202761534,2.2163523121505246,alive
s2,rnn,RNN,length_h384,length,384,T=384,0,0,,,,,,ineligible_id
s2,gru,GRU,length_h384,length,384,T=384,0,0,,,,,,ineligible_id
s2,lstm,LSTM,length_h384,length,384,T=384,3,3,0.15865033864974976,0.12732410430908203,0.1647823452949524,0.11325193172524226,2.1010588554936795,alive
s2,calru,CA-LRU,length_h384,length,384,T=384,1,1,0.3520174026489258,0.3520174026489258,0.3520174026489258,0.25128626380625846,3.4532906155261407,alive
s1,rnn,RNN,length_h512,length,512,T=512,1,1,0.4408576488494873,0.4408576488494873,0.4408576488494873,0.3072123224457483,3.8862548758053,alive
s1,gru,GRU,length_h512,length,512,T=512,3,3,0.12543216347694397,0.06923385709524155,0.1623246967792511,0.08740759370220812,3.1075384371731682,alive
s1,lstm,LSTM,length_h512,length,512,T=512,3,3,0.12002173066139221,0.07258842885494232,0.14220935106277466,0.0836373253740072,3.350082800411184,alive
s1,calru,CA-LRU,length_h512,length,512,T=512,3,3,0.1486538201570511,0.06018052250146866,0.15188176929950714,0.10358964044303519,2.2549372579290767,alive
t2,rnn,RNN,length_h512,length,512,T=512,0,0,,,,,,ineligible_id
t2,gru,GRU,length_h512,length,512,T=512,3,3,0.1858484148979187,0.15936556458473206,0.20743995904922485,0.11908602832259452,3.1675027172941688,alive
t2,lstm,LSTM,length_h512,length,512,T=512,3,3,0.2005683034658432,0.1243172213435173,0.21455678343772888,0.12851808652910723,2.959588812328506,alive
t2,calru,CA-LRU,length_h512,length,512,T=512,3,3,0.07275934517383575,0.05872081220149994,0.19166608154773712,0.04662198192469959,2.8211095676660563,alive
s2,rnn,RNN,length_h512,length,512,T=512,0,0,,,,,,ineligible_id
s2,gru,GRU,length_h512,length,512,T=512,0,0,,,,,,ineligible_id
s2,lstm,LSTM,length_h512,length,512,T=512,3,3,0.18933424353599548,0.1563042849302292,0.20077034831047058,0.13208919220251233,2.5599242290380624,alive
s2,calru,CA-LRU,length_h512,length,512,T=512,1,1,0.5064019560813904,0.5064019560813904,0.5064019560813904,0.3532917451134299,4.967803038885591,transition
s1,rnn,RNN,length_h768,length,768,T=768,1,1,0.6726016998291016,0.6726016998291016,0.6726016998291016,0.457825647230809,5.929128466427466,transition
s1,gru,GRU,length_h768,length,768,T=768,3,3,0.1729036569595337,0.09476522356271744,0.23737585544586182,0.11769183556358188,4.283628257981203,transition
s1,lstm,LSTM,length_h768,length,768,T=768,3,3,0.1625046581029892,0.10375963896512985,0.21021287143230438,0.1106134585935867,4.535879103705046,transition
s1,calru,CA-LRU,length_h768,length,768,T=768,3,3,0.19156089425086975,0.0935048758983612,0.2222931832075119,0.1303914194935884,3.371976451521395,alive
t2,rnn,RNN,length_h768,length,768,T=768,0,0,,,,,,ineligible_id
t2,gru,GRU,length_h768,length,768,T=768,3,3,0.259620726108551,0.21428963541984558,0.28895723819732666,0.1624807218618265,4.4248392210738725,transition
t2,lstm,LSTM,length_h768,length,768,T=768,3,3,0.27195554971694946,0.16741883754730225,0.3101871609687805,0.1702003329805971,4.012980059583557,transition
t2,calru,CA-LRU,length_h768,length,768,T=768,3,3,0.0906641036272049,0.08845303952693939,0.2993084192276001,0.056741113181173315,4.249527667333909,transition
s2,rnn,RNN,length_h768,length,768,T=768,0,0,,,,,,ineligible_id
s2,gru,GRU,length_h768,length,768,T=768,0,0,,,,,,ineligible_id
s2,lstm,LSTM,length_h768,length,768,T=768,3,3,0.2390812635421753,0.21104925870895386,0.26182442903518677,0.161899863016806,3.3383948639903633,alive
s2,calru,CA-LRU,length_h768,length,768,T=768,1,1,0.8428724408149719,0.8428724408149719,0.8428724408149719,0.5707721746439256,8.268578394275693,severely_degraded
s1,rnn,RNN,length_h1024,length,1024,T=1024,1,1,0.8931747078895569,0.8931747078895569,0.8931747078895569,0.6017219504532374,7.873526914051186,transition
s1,gru,GRU,length_h1024,length,1024,T=1024,3,3,0.21133585274219513,0.10588878393173218,0.29034626483917236,0.14237463330461447,5.235772606839043,transition
