job_id,model,topology,seed,completed,task_success,parameters_total,validation_nmse_db,validation_error,validation_hold_error,test_mean_error,test_terminal_error,test_trial_median,test_trial_p90,test_trial_p95,test_trial_p99,test_output_norm_error,test_hold_error,test_hold_relative_improvement,test_worst_coordinate_error,finite,selection_regime,source_analysis
pilot__gru__s2__seed11,gru,s2,11,True,False,51843,-1.259464979171753,0.3276699185371399,0.4013522267341614,0.328006774187088,0.4027330279350281,0.3277960419654846,0.49625590443611145,0.5407922863960266,0.5955403447151184,0.5762227773666382,0.3943699598312378,0.16827647387981415,,True,ring-selected zero-retuning,baseline_all_v2
pilot__gru__s2__seed12,gru,s2,12,True,False,51843,-0.7329436540603638,0.36985331773757935,0.4013522267341614,0.36369702219963074,0.4226178228855133,0.37268877029418945,0.5281878709793091,0.5649352073669434,0.6350001692771912,0.6753098964691162,0.3943699598312378,0.07777706533670425,,True,ring-selected zero-retuning,baseline_all_v2
pilot__lstm__s2__seed10,lstm,s2,10,True,True,18243,-24.353622436523438,0.014883749186992645,0.4013522267341614,0.014894659630954266,0.0242263562977314,0.013246815651655197,0.023640232160687447,0.02745978720486164,0.038128700107336044,0.012540141120553017,0.3943699598312378,0.9622317552566528,,True,ring-selected zero-retuning,baseline_all_v2
pilot__lstm__s2__seed11,lstm,s2,11,True,True,18243,-23.635141372680664,0.016061924397945404,0.4013522267341614,0.015587634406983852,0.02607782371342182,0.013684154488146305,0.025311648845672607,0.03064226545393467,0.041323330253362656,0.013558582402765751,0.3943699598312378,0.9604746103286743,,True,ring-selected zero-retuning,baseline_all_v2
pilot__lstm__s2__seed12,lstm,s2,12,True,True,18243,-25.91034698486328,0.012160596437752247,0.4013522267341614,0.012675486505031586,0.02041756361722946,0.011060403659939766,0.02001330442726612,0.025372987613081932,0.03290325775742531,0.012678273022174835,0.3943699598312378,0.9678588509559631,,True,ring-selected zero-retuning,baseline_all_v2
pilot__rnn__s2__seed10,rnn,s2,10,True,False,17667,-1.765395998954773,0.2955823242664337,0.4013522267341614,0.2963460087776184,0.3586830496788025,0.2964783310890198,0.4542739689350128,0.4920250475406647,0.5516276955604553,0.4860476553440094,0.3943699598312378,0.24855835735797882,,True,ring-selected zero-retuning,baseline_all_v2
pilot__rnn__s2__seed11,rnn,s2,11,True,False,17667,-1.245737910270691,0.33671221137046814,0.4013522267341614,0.33614790439605713,0.39843305945396423,0.33810997009277344,0.48997974395751953,0.524308979511261,0.5987761616706848,0.5634964108467102,0.3943699598312378,0.14763309061527252,,True,ring-selected zero-retuning,baseline_all_v2
pilot__rnn__s2__seed12,rnn,s2,12,True,False,17667,-0.37528491020202637,0.4194331467151642,0.4013522267341614,0.41956546902656555,0.47782430052757263,0.43157416582107544,0.562168538570404,0.5977861285209656,0.6485864520072937,0.7020723819732666,0.3943699598312378,-0.06388800591230392,,True,ring-selected zero-retuning,baseline_all_v2
pilot__gru__t2__seed10,gru,t2,10,True,True,51716,-24.554719924926758,0.013621704652905464,0.44855472445487976,0.01330607756972313,0.02126828394830227,0.012417308986186981,0.01950337365269661,0.023087983950972557,0.032365985214710236,0.017743928357958794,0.4420863389968872,0.9699016213417053,0.01696603372693062,True,ring-selected zero-retuning,baseline_all_v2
pilot__gru__t2__seed11,gru,t2,11,True,True,51716,-24.640911102294922,0.012819411233067513,0.44855472445487976,0.01271441113203764,0.019421463832259178,0.011429320089519024,0.020045701414346695,0.02370692789554596,0.034295737743377686,0.020559176802635193,0.4420863389968872,0.9712399840354919,0.0162089541554451,True,ring-selected zero-retuning,baseline_all_v2
