topology,model,model_label,eligible_seed_count,kick_radius_relative,recovery_horizon,recovery_ratio_median,recovery_ratio_min,recovery_ratio_max,same_memory_error_normalized_median,same_memory_error_normalized_min,same_memory_error_normalized_max,same_memory_error_radians_median,status
s1,gru,GRU,3,0.25,2048,0.003565192688256502,0.0034286226145923138,0.003612580941990018,0.009090457111597061,0.00891567301005125,0.009999535977840424,0.028558513279566416,survived
s1,lstm,LSTM,3,0.25,0,1.0,1.0,1.0,0.016944361850619316,0.0166761577129364,0.0170302651822567,0.05323228270967279,trajectory
s1,lstm,LSTM,3,0.25,1,0.4675469994544983,0.4673081636428833,0.4709610342979431,0.0075115421786904335,0.007293039932847023,0.007858091965317726,0.023598205725703734,trajectory
s1,lstm,LSTM,3,0.25,16,0.017381295561790466,0.01596919074654579,0.01906348019838333,0.006646688096225262,0.006498103495687246,0.006940656807273626,0.02088118649380401,trajectory
s1,lstm,LSTM,3,0.25,128,0.006355231162160635,0.0062912628054618835,0.006407424341887236,0.006666087545454502,0.006501172669231892,0.006936320103704929,0.02094213166098628,trajectory
s1,lstm,LSTM,3,0.25,512,0.005240653641521931,0.00501869386062026,0.005758458748459816,0.006696690805256367,0.006471305154263973,0.006931425537914038,0.021038274637155716,trajectory
s1,lstm,LSTM,3,0.25,2048,0.0017975409282371402,0.0013413046253845096,0.00397371593862772,0.006464072503149509,0.006208439357578754,0.006869758479297161,0.020307482688166283,survived
s1,calru,CA-LRU,3,0.25,0,1.0,1.0,1.0,0.004209202714264393,0.003659437410533428,0.005576894152909517,0.013223600324603233,trajectory
s1,calru,CA-LRU,3,0.25,1,0.7407118678092957,0.7394671440124512,0.7531607747077942,0.003267466090619564,0.002929640468209982,0.004475775640457869,0.010265047466144183,trajectory
s1,calru,CA-LRU,3,0.25,16,0.26330411434173584,0.25933969020843506,0.3006638288497925,0.0019726427271962166,0.0017615476390346885,0.002672491129487753,0.006197239899916968,trajectory
s1,calru,CA-LRU,3,0.25,128,0.2564547657966614,0.25542837381362915,0.2945775091648102,0.0020580573473125696,0.0018008026527240872,0.0026865580584853888,0.006465577842983666,trajectory
s1,calru,CA-LRU,3,0.25,512,0.2564547657966614,0.25542837381362915,0.294559121131897,0.002058090176433325,0.0018008031183853745,0.002686559222638607,0.006465680978708255,trajectory
s1,calru,CA-LRU,3,0.25,2048,0.2564547657966614,0.25542837381362915,0.2944909632205963,0.002058199141174555,0.0018008031183853745,0.002686559222638607,0.006466023301538803,survived
t2,rnn,RNN,0,0.05,0,,,,,,,,ineligible_id
t2,rnn,RNN,0,0.05,1,,,,,,,,ineligible_id
t2,rnn,RNN,0,0.05,16,,,,,,,,ineligible_id
t2,rnn,RNN,0,0.05,128,,,,,,,,ineligible_id
t2,rnn,RNN,0,0.05,512,,,,,,,,ineligible_id
t2,rnn,RNN,0,0.05,2048,,,,,,,,ineligible_id
t2,gru,GRU,3,0.05,0,1.0,1.0,1.0,0.0033043520525097847,0.0032937973737716675,0.003353285603225231,0.010380928133039095,trajectory
t2,gru,GRU,3,0.05,1,0.5061130523681641,0.504586398601532,0.5083724856376648,0.0029270437080413103,0.002923025283962488,0.002995678223669529,0.009195579009918808,trajectory
t2,gru,GRU,3,0.05,16,0.19023841619491577,0.1902165412902832,0.19225499033927917,0.00251282867975533,0.0024734162725508213,0.00261310744099319,0.007894284120049083,trajectory
t2,gru,GRU,3,0.05,128,0.15673738718032837,0.15268024802207947,0.1639551818370819,0.002551332116127014,0.0025280234403908253,0.0027113202959299088,0.008015246232892329,trajectory
t2,gru,GRU,3,0.05,512,0.14609643816947937,0.13797087967395782,0.16041669249534607,0.0026195989921689034,0.0025154862087219954,0.0030010053887963295,0.008229712949149053,trajectory
t2,gru,GRU,3,0.05,2048,0.06840675324201584,0.06036726385354996,0.09735219180583954,0.0029980496037751436,0.0027861048001796007,0.003872522385790944,0.009418650610317781,survived
t2,lstm,LSTM,3,0.05,0,1.0,1.0,1.0,0.0044853948056697845,0.00433083763346076,0.004578141495585442,0.014091283369942012,trajectory
t2,lstm,LSTM,3,0.05,1,0.5101473331451416,0.508192777633667,0.5104427337646484,0.0020087910816073418,0.0019800588488578796,0.002016855636611581,0.006310803304574319,trajectory
t2,lstm,LSTM,3,0.05,16,0.1361566185951233,0.13507311046123505,0.1397167444229126,0.0019044458167627454,0.0018903830787166953,0.0019062213832512498,0.005982992987101654,trajectory
t2,lstm,LSTM,3,0.05,128,0.11726885288953781,0.11491432785987854,0.12031885981559753,0.001946240896359086,0.001929808990098536,0.001973353559151292,0.006114296102117719,trajectory
t2,lstm,LSTM,3,0.05,512,0.0999479591846466,0.09887043386697769,0.10774196684360504,0.0021335307974368334,0.0020236836280673742,0.0021850294433534145,0.006702684679435128,trajectory
t2,lstm,LSTM,3,0.05,2048,0.028855491429567337,0.026287198066711426,0.06793498992919922,0.0024243746884167194,0.0021213404834270477,0.00381846958771348,0.007616397710679009,survived
t2,calru,CA-LRU,3,0.05,0,1.0,1.0,1.0,0.0014031914761289954,0.0013466933742165565,0.0014416412450373173,0.00440825603298667,trajectory
t2,calru,CA-LRU,3,0.05,1,0.7504833936691284,0.7494256496429443,0.7519491910934448,0.0010700863786041737,0.0010144688421860337,0.0010793203255161643,0.003361775505729378,trajectory
t2,calru,CA-LRU,3,0.05,16,0.33202052116394043,0.3017576336860657,0.3374921679496765,0.0004400466859806329,0.00040840989095158875,0.000450753461336717,0.001382447435913291,trajectory
t2,calru,CA-LRU,3,0.05,128,0.3306517004966736,0.2983147203922272,0.3360211253166199,0.00043854699470102787,0.0004109198343940079,0.0004473693552426994,0.001377736016806631,trajectory
t2,calru,CA-LRU,3,0.05,512,0.3306517004966736,0.2983147203922272,0.3360211253166199,0.00043854699470102787,0.00041092041647061706,0.000447369267931208,0.001377736016806631,trajectory
t2,calru,CA-LRU,3,0.05,2048,0.3306517004966736,0.2983147203922272,0.3360211253166199,0.00043854699470102787,0.00041092041647061706,0.000447369267931208,0.001377736016806631,survived
t2,rnn,RNN,0,0.1,0,,,,,,,,ineligible_id
t2,rnn,RNN,0,0.1,1,,,,,,,,ineligible_id
t2,rnn,RNN,0,0.1,16,,,,,,,,ineligible_id
t2,rnn,RNN,0,0.1,128,,,,,,,,ineligible_id
t2,rnn,RNN,0,0.1,512,,,,,,,,ineligible_id
t2,rnn,RNN,0,0.1,2048,,,,,,,,ineligible_id
t2,gru,GRU,3,0.1,0,1.0,1.0,1.0,0.006610100157558918,0.006590705364942551,0.006703740917146206,0.02076624209447983,trajectory
