job_id,model,model_label,topology,seed,task_success,validation_error,selection_regime,component_mse,condition_axis,condition_id,condition_label,condition_value,divergence_step,dwell_profile,dwell_step_mean_error_radians,finite,gp_length_scale,hold_baseline_mean_error_radians,horizon,last_quarter_mean_error_radians,moving_step_mean_error_radians,output_norm_absolute_error,post_blank_0_mean_error_radians,post_blank_0_median_error_radians,post_blank_128_mean_error_radians,post_blank_128_median_error_radians,post_blank_512_mean_error_radians,post_blank_512_median_error_radians,sequence_mean_error_radians,terminal_mean_error_radians,trial_median_error_radians,trial_p90_error_radians,velocity_scale
pilot__rnn__s1__seed10,rnn,RNN,s1,10,False,0.0997006818652153,ring-selected zero-retuning,0.09561406075954437,smoothness,smooth_l0p5,GP ell=0.5,0.5,,variable_sparsity,0.17451700568199158,True,0.5,1.2179415225982666,128,0.5403960943222046,0.34636422991752625,0.19348347187042236,0.6186882853507996,0.27452969551086426,0.8303894400596619,0.44515249133110046,0.944696843624115,0.6302142143249512,0.30406323075294495,0.6186882853507996,0.1613207459449768,0.8241066932678223,1.0
pilot__rnn__s1__seed10,rnn,RNN,s1,10,False,0.0997006818652153,ring-selected zero-retuning,0.09155452251434326,smoothness,smooth_l2,GP ell=2.0,2.0,,variable_sparsity,0.17384420335292816,True,2.0,1.252528429031372,128,0.5676352381706238,0.3686257302761078,0.2024376094341278,0.5963737964630127,0.22278927266597748,0.8555039167404175,0.4707290828227997,1.0027520656585693,0.7005069255828857,0.32067936658859253,0.5963737964630127,0.1462305635213852,0.9605801105499268,1.0
pilot__rnn__s1__seed10,rnn,RNN,s1,10,False,0.0997006818652153,ring-selected zero-retuning,0.024651329964399338,velocity,velocity_x0p5,0.5x,0.5,,variable_sparsity,0.10952067375183105,True,1.0,1.0554780960083008,128,0.20852552354335785,0.13318686187267303,0.0757230818271637,0.24874840676784515,0.14899134635925293,0.5414617657661438,0.2981114387512207,0.7452026605606079,0.5464515686035156,0.12736131250858307,0.24874840676784515,0.09452759474515915,0.22827495634555817,0.5
pilot__rnn__s1__seed10,rnn,RNN,s1,10,False,0.0997006818652153,ring-selected zero-retuning,0.16304808855056763,velocity,velocity_x1p5,1.5x,1.5,,variable_sparsity,0.2613077759742737,True,1.0,1.3258905410766602,128,0.7700071334838867,0.5785310864448547,0.30336737632751465,0.8973796963691711,0.4079310894012451,1.1613417863845825,0.8228768706321716,1.222163438796997,0.9976837635040283,0.5004450082778931,0.8973796963691711,0.21893851459026337,1.3044753074645996,1.5
pilot__rnn__s1__seed10,rnn,RNN,s1,10,False,0.0997006818652153,ring-selected zero-retuning,0.22121189534664154,velocity,velocity_x2,2.0x,2.0,,variable_sparsity,0.37996384501457214,True,1.0,1.3806934356689453,128,0.9298847317695618,0.7551879286766052,0.38398754596710205,1.012800693511963,0.6983520984649658,1.2016711235046387,0.9133565425872803,1.2418560981750488,0.9982759356498718,0.6628247499465942,1.012800693511963,0.46228116750717163,1.5247623920440674,2.0
pilot__rnn__s1__seed11,rnn,RNN,s1,11,False,0.025653602555394173,ring-selected zero-retuning,0.21956023573875427,combined,combined_h1024_x1p5,"T=1024, 1.5x",T1024_1.5x,,variable_sparsity,0.5317946672439575,True,1.0,1.4864857196807861,1024,0.8170406818389893,0.5493723154067993,0.062324173748493195,0.9016457796096802,0.7839128971099854,0.907461404800415,0.7582700252532959,0.9519802331924438,0.8145036697387695,0.5450658202171326,0.9016457796096802,0.4450289011001587,1.0396194458007812,1.5
pilot__rnn__s1__seed11,rnn,RNN,s1,11,False,0.025653602555394173,ring-selected zero-retuning,0.3720053434371948,combined,combined_h1024_x2,"T=1024, 2.0x",T1024_2.0x,,variable_sparsity,0.7591391205787659,True,1.0,1.537050485610962,1024,1.1516215801239014,0.7971078157424927,0.11964192986488342,1.2385146617889404,1.0235874652862549,1.2533562183380127,1.0804181098937988,1.3196014165878296,1.1438958644866943,0.787805438041687,1.2385146617889404,0.6608691215515137,1.5156928300857544,2.0
pilot__rnn__s1__seed11,rnn,RNN,s1,11,False,0.025653602555394173,ring-selected zero-retuning,0.005278647877275944,dwell,dwell_block64,64-step middle blank,middle_blank_64,,variable_sparsity,0.059024106711149216,True,1.0,1.1519736051559448,128,0.10780610144138336,0.07529278844594955,0.0332096666097641,0.11774112284183502,0.10771441459655762,0.17133837938308716,0.16178560256958008,0.4164685606956482,0.39066267013549805,0.065150186419487,0.11774112284183502,0.05522990971803665,0.1035170704126358,1.0
pilot__rnn__s1__seed11,rnn,RNN,s1,11,False,0.025653602555394173,ring-selected zero-retuning,0.008276392705738544,dwell,dwell_dense,dense,dense,,dense,,True,1.0,1.4443029165267944,128,0.13496753573417664,0.08604641258716583,0.03663792461156845,0.14561621844768524,0.1367015838623047,0.19749939441680908,0.16637516021728516,0.4589165449142456,0.4431304931640625,0.08604641258716583,0.14561621844768524,0.07026608288288116,0.15084439516067505,1.0
pilot__rnn__s1__seed11,rnn,RNN,s1,11,False,0.025653602555394173,ring-selected zero-retuning,0.004462198819965124,dwell,dwell_p0p25,active p=0.25,0.25,,fixed_probability,0.058452069759368896,True,1.0,0.9348552227020264,128,0.09517040848731995,0.06467632204294205,0.027379147708415985,0.1052064448595047,0.09235572814941406,0.18741711974143982,0.1664116382598877,0.43881282210350037,0.43720507621765137,0.06001877039670944,0.1052064448595047,0.05128355324268341,0.08894933015108109,1.0
